date,admin1,market,latitude,longitude,commodity,price
15/01/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,175.92
15/01/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,153.35
15/01/2002,Sokoto,Illela (CBM),13.64,5.28,Millet,146.95
15/01/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),337.59
15/01/2002,Sokoto,Illela (CBM),13.64,5.28,Beans (niebe),239.07
15/02/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,148.54
15/02/2002,Katsina,Jibia (CBM),13.08,7.24,Rice (imported),381.97
15/03/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,181.94
15/03/2002,Katsina,Jibia (CBM),13.08,7.24,Rice (imported),361.11
15/03/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,171.25
15/03/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),345.36
15/04/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,187.5
15/04/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,184.78
15/04/2002,Sokoto,Illela (CBM),13.64,5.28,Millet,189.76
15/04/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),357.34
15/04/2002,Sokoto,Illela (CBM),13.64,5.28,Sorghum,185.59
15/04/2002,Sokoto,Illela (CBM),13.64,5.28,Beans (niebe),415.52
15/05/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,208.67
15/05/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,195.12
15/05/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,195.12
15/05/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,189.04
15/05/2002,Sokoto,Illela (CBM),13.64,5.28,Millet,191.74
15/05/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),353.53
15/05/2002,Sokoto,Illela (CBM),13.64,5.28,Sorghum,186.26
15/06/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,222.26
15/06/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,216.97
15/06/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,212.99
15/06/2002,Sokoto,Illela (CBM),13.64,5.28,Millet,193.11
15/06/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),343.93
15/06/2002,Sokoto,Illela (CBM),13.64,5.28,Sorghum,191.8
15/07/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,233.48
15/07/2002,Katsina,Jibia (CBM),13.08,7.24,Rice (imported),294.45
15/07/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,230.86
15/07/2002,Katsina,Jibia (CBM),13.08,7.24,Beans (niebe),269.11
15/07/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,229.08
15/07/2002,Sokoto,Illela (CBM),13.64,5.28,Millet,231.71
15/07/2002,Sokoto,Illela (CBM),13.64,5.28,Sorghum,229.14
15/08/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,216.45
15/08/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,219.81
15/08/2002,Katsina,Jibia (CBM),13.08,7.24,Beans (niebe),241.63
15/08/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),322.14
15/09/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,135.46
15/09/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,141.68
15/09/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,163.37
15/09/2002,Katsina,Jibia (CBM),13.08,7.24,Beans (niebe),171.56
15/09/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,133.06
15/09/2002,Sokoto,Illela (CBM),13.64,5.28,Millet,129.37
15/09/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),266.19
15/10/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,112.5
15/10/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,120
15/10/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,130
15/10/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,102.29
15/10/2002,Sokoto,Illela (CBM),13.64,5.28,Sorghum,103.11
15/11/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,98.33
15/11/2002,Katsina,Jibia (CBM),13.08,7.24,Millet,130
15/11/2002,Katsina,Jibia (CBM),13.08,7.24,Rice (imported),324
15/11/2002,Katsina,Jibia (CBM),13.08,7.24,Sorghum,100
15/11/2002,Katsina,Mai Adoua (CBM),13.18,8.23,Maize,98.75
15/11/2002,Katsina,Mai Adoua (CBM),13.18,8.23,Millet,120
15/11/2002,Katsina,Mai Adoua (CBM),13.18,8.23,Rice (imported),320
15/11/2002,Katsina,Mai Adoua (CBM),13.18,8.23,Beans (niebe),130
15/11/2002,Sokoto,Illela (CBM),13.64,5.28,Maize,97.75
15/11/2002,Sokoto,Illela (CBM),13.64,5.28,Rice (imported),210.98
15/11/2002,Sokoto,Illela (CBM),13.64,5.28,Sorghum,100.76
15/11/2002,Sokoto,Illela (CBM),13.64,5.28,Beans (niebe),127.36
15/12/2002,Katsina,Jibia (CBM),13.08,7.24,Maize,110.01
